,"Agricultura, inclusive o apoio à agricultura e a pós-colheita","Pecuária, inclusive o apoio à pecuária",Produção florestal; pesca e aquicultura,Extração de carvão mineral e de minerais não metálicos,"Extração de petróleo e gás, inclusive as atividades de apoio","Extração de minério de ferro, inclusive beneficiamentos e a aglomeração","Extração de minerais metálicos não ferrosos, inclusive beneficiamentos","Abate e produtos de carne, inclusive os produtos do laticínio e da pesca",Fabricação e refino de açúcar,Outros produtos alimentares,Fabricação de bebidas,Fabricação de produtos do fumo,Fabricação de produtos têxteis,Confecção de artefatos do vestuário e acessórios,Fabricação de calçados e de artefatos de couro,Fabricação de produtos da madeira,"Fabricação de celulose, papel e produtos de papel",Impressão e reprodução de gravações,Refino de petróleo e coquerias,Fabricação de biocombustíveis,"Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros","Fabricação de defensivos, desinfestantes, tintas e químicos diversos","Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",Fabricação de produtos farmoquímicos e farmacêuticos,Fabricação de produtos de borracha e de material plástico,Fabricação de produtos de minerais não metálicos,"Produção de ferro gusa/ferroligas, siderurgia e tubos de aço sem costura",Metalurgia de metais não ferosos e a fundição de metais,"Fabricação de produtos de metal, exceto máquinas e equipamentos","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",Fabricação de máquinas e equipamentos elétricos,Fabricação de máquinas e equipamentos mecânicos,"Fabricação de automóveis, caminhões e ônibus, exceto peças",Fabricação de peças e acessórios para veículos automotores,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",Fabricação de móveis e de produtos de indústrias diversas,"Manutenção, reparação e instalação de máquinas e equipamentos","Energia elétrica, gás natural e outras utilidades","Água, esgoto e gestão de resíduos",Construção,Comércio por atacado e varejo,Transporte terrestre,Transporte aquaviário,Transporte aéreo,"Armazenamento, atividades auxiliares dos transportes e correio",Alojamento,Alimentação,Edição e edição integrada à impressão,"Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem",Telecomunicações,Desenvolvimento de sistemas e outros serviços de informação,"Intermediação financeira, seguros e previdência complementar",Atividades imobiliárias,"Atividades jurídicas, contábeis, consultoria e sedes de empresas","Serviços de arquitetura, engenharia, testes/análises técnicas e P & D","Outras atividades profissionais, científicas e técnicas",Aluguéis não imobiliários e gestão de ativos de propriedade intelectual,Outras atividades administrativas e serviços complementares,"Atividades de vigilância, segurança e investigação","Administração pública, defesa e seguridade social",Educação pública,Educação privada,Saúde pública,Saúde privada,"Atividades artísticas, criativas e de espetáculos",Organizações associativas e outros serviços pessoais,Serviços domésticos
61,0.0007753642993322545,0.0008392414115472121,0.00039133567278663183,0.001500698411887107,0.0022566967938219802,0.003945338601035465,0.003276945806368078,0.001582709497782212,0.002043512291410451,0.0018047627154691222,0.0020711635667501117,0.0019120640555286453,0.0010235388595027485,0.0008584286515773957,0.0012328962861631637,0.001138017686101053,0.002173462439440648,0.0011126164073964133,0.001484006518691435,0.001009297497691944,0.0014311557756168606,0.0023065385319692264,0.0021370690444659905,0.002108944593433656,0.0013933144847036094,0.0016875998005642801,0.004055139052213034,0.0028490960917786383,0.0022729414188410145,0.0015597423486002307,0.0018864568758248004,0.0017127451505550802,0.002363684111259568,0.0016885128522573347,0.0012109753776080806,0.0010513043497895965,0.001042597664684243,0.0018562039460512387,0.00084577855095798,0.0009243540049490962,0.0020788435090700746,0.004311281365012122,0.00406239525752492,0.0018010928487722315,0.0034042279866021608,0.001100233083044398,0.0009131484497244193,0.001517963897018225,0.001936985825698836,0.002372114778349597,0.0010000525118754426,0.004992417034451127,0.00028448003747178694,0.015923055649456085,0.0024037413225710363,0.0058108878574514985,0.0022859705946472963,0.007496190107412655,0.004305591639344707,0.0017597405613391896,0.0023849501629407037,1.0009693593163993,0.0041986796680022875,0.0007389613635091981,0.0013468775938759961,0.0038193447518748585,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.847464755273578e-05,1.9122327884230266e-05,0.0,8.184624277017697e-05,1.1035265954054676,0.0,0.0,0.0
64,0.0001445546937634549,0.00026976483181255094,0.00013805830554452294,0.0002393772741747163,0.0003010932538058581,0.0002342691117581039,0.00024713814820826764,0.0005145896656245836,0.0003757071424931114,0.000553087907057847,0.001952600520747187,0.0006020829996226973,0.00026453452511008586,0.00039037284065276436,0.0008154759055159947,0.0002551854600140413,0.0004317134621453279,0.0003983430118172877,0.00019752276609721846,0.00019627132814145967,0.0002162229157059385,0.00040392069924956114,0.001050827411931279,0.0009477777297966111,0.00035519713498810573,0.0003654560827540373,0.00030196394682739083,0.000260873285344831,0.0003543071637440678,0.0007283499165307597,0.0005012113745449262,0.0003303919813403973,0.0010287129812340222,0.0003714453638909467,0.00038149029961547187,0.0003688914199677468,0.0002014540059495843,0.0006318364003692755,0.00020343919619954666,0.0002319345552810357,0.0006349052578102146,0.00024017851825953258,0.00017830509287825513,0.0003497908007701991,0.0004526679414733729,0.001258293602658828,0.0004412719646152338,0.0013564621303808716,0.064741524330921,0.005964529790177097,0.0005446098870250798,0.0007542034839004203,7.624965851835703e-05,0.0007228459026648546,0.00017282511338013795,0.019481042510691077,0.0006317547407152371,0.0004516103300158072,0.00021069648946637478,0.001379645904286783,0.0004437953934226772,0.0007001533448918205,0.0007555330931350983,0.00025975126712059416,1.0258226280660112,0.009708978730436569,0.0
65,0.001689176656575801,0.0017800017364079399,0.0012504286170816822,0.003420523730143961,0.005260008147554929,0.00551330739609246,0.005708077705616271,0.0031721375469016782,0.004952778086928823,0.003184470646284208,0.004731535741404388,0.0028177781701801043,0.0031561510253079552,0.0036782209995911996,0.0037249008102691896,0.0041398006555223915,0.003957182896700525,0.004920207451452283,0.0030295586477384626,0.002396833995905407,0.0026580499644689123,0.0028906282491988795,0.003874756823023798,0.003548648323512059,0.0038363596126043797,0.004456076666324207,0.0040806247069425025,0.0035073244988905296,0.00461024141697643,0.00708242592850535,0.004641517051769971,0.003878203567679916,0.004903683450310587,0.004540860562733917,0.003525503882332587,0.0036019352070663776,0.0016398155280019575,0.005978269814994016,0.0012245731456741855,0.0018547213196865517,0.004898672225045461,0.0035435974179613295,0.0023575813992728198,0.0029604804218878937,0.011694905105543302,0.006997845619076542,0.0024207670492224433,0.005018767596403807,0.00649341084706353,0.03180970037592095,0.012132969852024073,0.0064239133996220965,0.0005759280669321145,0.004237143978213137,0.0013680530648800815,0.006627147619695599,0.0034592478043117725,0.006598534477659593,0.0017299835662040548,0.002640518168066819,0.0012044088899936598,0.005987508052347999,0.010056458918728344,0.011354382933301743,0.002063094574073708,1.0044952470753925,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
